,Chins,Situps,Jumps,Waist,Pulse,Weight
0,5.0,162.0,60.0,36.0,50.0,191.0
1,2.0,110.0,60.0,37.0,52.0,189.0
2,12.0,101.0,101.0,38.0,58.0,193.0
3,12.0,105.0,37.0,35.0,62.0,162.0
4,13.0,155.0,58.0,35.0,46.0,189.0
5,4.0,101.0,42.0,36.0,56.0,182.0
6,8.0,101.0,38.0,38.0,56.0,211.0
7,6.0,125.0,40.0,34.0,60.0,167.0
8,15.0,200.0,40.0,31.0,74.0,176.0
9,17.0,251.0,250.0,33.0,56.0,
10,17.0,120.0,38.0,34.0,50.0,169.0
11,13.0,210.0,115.0,33.0,52.0,166.0
12,14.0,215.0,105.0,34.0,64.0,154.0
13,1.0,50.0,50.0,46.0,50.0,247.0
14,6.0,70.0,31.0,36.0,46.0,193.0
15,12.0,210.0,120.0,37.0,62.0,202.0
16,4.0,60.0,25.0,37.0,54.0,176.0
17,11.0,230.0,80.0,32.0,52.0,157.0
18,15.0,225.0,73.0,33.0,54.0,156.0
19,2.0,110.0,43.0,33.0,68.0,138.0
20,11.98807099010678,208.30639974847773,120.21834027111612,37.00856257003324,61.944159484379604,202.19535699859048
21,12.0907207833296,208.90050357417277,118.86077263818324,37.02872275983456,62.025565166482,202.3892228993026
22,12.088707761369472,209.25415575010933,119.92046298259424,37.02046535587863,61.91605720441205,202.2943294506168
23,11.888979639614774,210.3752836118409,120.73304597077373,36.97451465582852,61.908146894687064,201.29180419152715
24,7.928276206374345,100.92984722469974,38.12161687701918,37.9767476867296,56.015746735882566,210.59970645428953
25,7.989021702350073,100.16509807674856,39.49076728740745,37.961025229367124,56.06454564697904,210.62309409419723
26,7.985230045726416,101.8880879924911,37.85597596239971,38.003905356917834,55.974864367203246,210.19297024687674
27,7.924313342692688,102.61496242745393,37.38593107478155,37.92190588351304,56.076551645275444,211.0353871134772
28,0.9343674021661064,49.78250128917409,49.62756311552912,45.947836869524856,50.128078924556654,246.947448372681
29,1.0820043062598415,49.699154692060965,48.94137641340515,45.886899816090796,50.2612248060557,247.14997548142998
30,0.9359506147119518,47.60862647207382,51.33733468362622,46.01526164330491,50.042651887842815,246.7718752615892
31,1.0019546017647776,49.88867247617272,50.40792461560964,46.03058694085434,50.03178237287143,246.08869224613795
32,7.944815362916237,103.0122182950653,38.05963790216039,38.05126102932573,55.966698451842525,210.4960810780078
33,0.9845571452147627,50.37331499344569,50.320461531613056,45.934315535110755,49.961582451078804,246.65917570286913
34,12.0,105.0,37.0,35.0,62.0,162.0
35,13.0,155.0,58.0,35.0,46.0,189.0
36,4.0,101.0,42.0,36.0,56.0,182.0
37,8.0,101.0,38.0,38.0,56.0,211.0
38,6.0,125.0,40.0,34.0,60.0,167.0
39,15.0,200.0,40.0,31.0,74.0,
40,17.0,251.0,250.0,33.0,56.0,154.0
41,17.0,120.0,38.0,34.0,50.0,169.0
42,13.0,210.0,115.0,33.0,52.0,166.0
43,14.0,215.0,105.0,34.0,64.0,154.0
44,1.0,50.0,50.0,46.0,50.0,247.0
45,6.0,70.0,31.0,36.0,46.0,193.0
46,12.0,210.0,120.0,37.0,62.0,202.0
47,4.0,60.0,25.0,37.0,54.0,
48,11.0,230.0,80.0,32.0,52.0,157.0
49,15.0,225.0,73.0,33.0,54.0,156.0
50,2.0,110.0,43.0,33.0,68.0,138.0
